"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","StackOverflow, HabraHabr","0","26","no","5"
"","GitHub, StackOverflow","2","12","no","10"
"","GitHub","0","15","yes","50"
"","GitHub, StackOverflow, HabraHabr","0","17","yes","60"
"","","2","18","no","3"
"","StackOverflow, HabraHabr","1","18","no","40"
"","HabraHabr","1","17","no","2"
"","StackOverflow","1","16","no","15"
"","StackOverflow","1","17","no","10"
"","StackOverflow, HabraHabr","0","17","no","60"
"","StackOverflow, HabraHabr","0","10","no","10"
"","StackOverflow, HabraHabr","0.75","14","no","4"
"","StackOverflow, HabraHabr","0.5","16","no","30"
"","StackOverflow, HabraHabr","0.25","17","yes","45"
"","StackOverflow, HabraHabr","1","17","no","10"
"","GitHub, HabraHabr","2","17","no","60"
"","","1.5","18","no","7"
"","","0.25","21","yes","2"
"","HabraHabr","0","14","yes","80"
"","GitHub, StackOverflow, HabraHabr","2.5","10","yes","10"
"","StackOverflow, HabraHabr","0.5","20","no","35"
"","StackOverflow, HabraHabr","2","","no","80"
"","HabraHabr","6","","no","20"
"","HabraHabr","4","10","yes","120"
"","HabraHabr","0.5","16","no","2"
"","StackOverflow","0.75","18","yes",""
"","HabraHabr","0","20","no","20"
"","StackOverflow, HabraHabr","2.5","19","no","50"
"","GitHub, StackOverflow, HabraHabr","0","17","no","40"
"","StackOverflow","0.5","14","yes","16"
"","StackOverflow, HabraHabr","0","24","no","18"
"","HabraHabr","0","15","no","50"
"","StackOverflow","2","14","no","32"
"","HabraHabr","2","22","no","10"
"","StackOverflow, HabraHabr","4","12","yes","20"
"","StackOverflow, HabraHabr","2","20","no","5"
"","","0","0","no","8"
"","StackOverflow, HabraHabr","0.5","9","no","10"
"","GitHub, StackOverflow","2","14","no","30"
"","GitHub, StackOverflow, HabraHabr","0","15","yes","2"
"","HabraHabr","2","13","yes","60"
"","StackOverflow, HabraHabr","1.5","13","no","12"
"","HabraHabr","2","16","no","60"
"","","3","","no","30"
"","StackOverflow, HabraHabr","0.5","11","no","20"
"","HabraHabr","2","16","no","5"
"","StackOverflow, HabraHabr","3","15","no","14"
"","GitHub, StackOverflow, HabraHabr","3","13","yes","150"
"","StackOverflow","0","18","no","5"
"","GitHub, StackOverflow, HabraHabr","0","15","no","20"
"","StackOverflow, HabraHabr","1","15","no","10"
"","StackOverflow, HabraHabr","4","15","no","8"
"","GitHub, StackOverflow, HabraHabr","2","13","no","50"
"","HabraHabr","0","14","no","10"
"","StackOverflow, HabraHabr","2","16","no","70"
"","GitHub, StackOverflow","0","14","no","30"
"","GitHub, StackOverflow, HabraHabr","1","16","no","30"
"","HabraHabr","2","16","no","25"
"","HabraHabr","3","13","no","24"
"","StackOverflow, HabraHabr","2","15","no","15"
"","HabraHabr","0","16","no",""
"","StackOverflow, HabraHabr","1","18","yes","28"
"","GitHub, StackOverflow, HabraHabr","0","18","no","8"
"","HabraHabr","1","6","yes","10"
"","GitHub, StackOverflow, HabraHabr","0.5","12","yes","30"
"","GitHub, StackOverflow, HabraHabr","1","15","no","20"
"","StackOverflow, HabraHabr","3.5","13","yes","50"
"","GitHub, StackOverflow, HabraHabr","4","12","no","50"
"","StackOverflow, HabraHabr","2","12","no","10"
"","GitHub, StackOverflow","3","12","yes","40"
"","","0","8","no","30"
"","StackOverflow, HabraHabr","3","15","yes","40"
"","GitHub, StackOverflow, HabraHabr","0","15","no","4"
"","StackOverflow, HabraHabr","1","16","no","60"
"","StackOverflow","2","12","no","40"
"","GitHub, StackOverflow, HabraHabr","2","11","no","30"
"","StackOverflow, HabraHabr","1.5","14","no","40"
"","StackOverflow","3","14","no","10"
"","GitHub, StackOverflow, HabraHabr","4","16","no","10"
"","GitHub, StackOverflow, HabraHabr","0.5","14","no","24"
"","","0","14","","50"
"","StackOverflow, HabraHabr","5","14","no","0"
"","StackOverflow","0.5","13","no","20"
"","StackOverflow","2","14","yes","20"
"","","0","19","no",""
"","StackOverflow, HabraHabr","0.25","15","yes","40"
"","HabraHabr","0.5","19","yes","48"
"","HabraHabr","2","7","no","5"
"","","0","15","no","1"
"","GitHub, HabraHabr","2","12","yes","120"
"","","2","12","no","15"
"","StackOverflow, HabraHabr","0.75","16","no","20"
"","GitHub, StackOverflow, HabraHabr","3","12","no","100"
"","GitHub, StackOverflow, HabraHabr","0.25","14","yes","92"
"","","5","","yes","46"
"","","3","15","no","3"
"","StackOverflow","0","20","no","40"
"","GitHub, StackOverflow","4","13","no","30"
"","StackOverflow","1","15","no","20"
"","GitHub, StackOverflow, HabraHabr","4","16","no","42"
"","GitHub, StackOverflow, HabraHabr","0","21","no","20"
"","GitHub, StackOverflow, HabraHabr","0","7","no","34"
"","StackOverflow, HabraHabr","1.25","15","no","1"
"","","1","18","no","36"
"","StackOverflow","0","16","no","15"
"","StackOverflow, HabraHabr","1","19","yes","4"
"","","5","19","no","5"
"","GitHub, StackOverflow, HabraHabr","0","21","no","88"
"","GitHub, HabraHabr","1","16","no","30"
"","GitHub, StackOverflow, HabraHabr","5","16","no","104"
"","GitHub, StackOverflow, HabraHabr","2","15","yes","60"
"","GitHub, StackOverflow, HabraHabr","1.25","13","no","50"
"","GitHub, StackOverflow, HabraHabr","2.5","14","yes","50"
"","StackOverflow, HabraHabr","3","21","no","10"
"","GitHub, StackOverflow, HabraHabr","2","15","no","3"
"","StackOverflow, HabraHabr","0","17","yes","50"
"","StackOverflow","0","16","no","16"
"","StackOverflow, HabraHabr","0","21","no","25"
"","","2","20","no","80"
"","","0.25","17","no","5"
"","","0","18","no","15"
"","","0","23","yes","16"
"","HabraHabr","3","17","no","80"
"","StackOverflow, HabraHabr","1","15","no","10"
"","StackOverflow","4","10","no","5"
"","HabraHabr","1.5","14","yes","30"
"","","2","1","no","20"
"","GitHub","0","17","yes","30"
"","GitHub, StackOverflow, HabraHabr","4","12","yes","30"
"","GitHub, StackOverflow, HabraHabr","2","9","yes","50"
"","HabraHabr","0","31","no","16"
"","GitHub, StackOverflow, HabraHabr","3","21","no","20"
"","GitHub, StackOverflow, HabraHabr","0.5","13","yes","20"
"","StackOverflow","2","13","yes","20"
"","","0","17","no","60"
"","GitHub, StackOverflow","0","17","no","20"
"","HabraHabr","5","10","no","20"
"","HabraHabr","1","25","no","40"
"","StackOverflow, HabraHabr","5","10","yes","30"
"","GitHub, StackOverflow, HabraHabr","1","10","no","80"
"","StackOverflow, HabraHabr","0","10","no","8"
"","HabraHabr","0","13","yes","10"
"","GitHub, StackOverflow, HabraHabr","3","15","yes","30"
"","StackOverflow, HabraHabr","1","17","no","40"
"","GitHub, StackOverflow, HabraHabr","1.75","14","no","90"
"","StackOverflow, HabraHabr","0","15","no","60"
"","GitHub, HabraHabr","3","15","yes","24"
"","StackOverflow, HabraHabr","0","12","no","120"
"","StackOverflow, HabraHabr","0.5","15","no","10"
"","GitHub, StackOverflow, HabraHabr","0","21","yes","20"
"","HabraHabr","0","7","no","20"
"","GitHub","0","17","no","20"
"","GitHub, HabraHabr","1","16","no","50"
"","","3","14","yes","8"
"","GitHub, StackOverflow, HabraHabr","0.75","16","yes","40"
"","HabraHabr","0.25","13","no","16"
"","StackOverflow, HabraHabr","1.5","14","no","20"
"","","0","27","no","32"
"","StackOverflow, HabraHabr","2","18","no","10"
"","","2","","no","8"
"","","1.25","17","no","16"
"","GitHub, HabraHabr","4","15","no","20"
"","StackOverflow, HabraHabr","0","15","yes","40"
"","","0","12","no","25"
"","GitHub, StackOverflow, HabraHabr","2","18","no","30"
"","","1","0","no","10"
"","StackOverflow, HabraHabr","2","12","no","20"
"","StackOverflow","1","12","no","30"
"","StackOverflow, HabraHabr","1","9","yes","30"
"","StackOverflow","3","19","yes","20"
"","HabraHabr","0.25","16","no","10"
"","GitHub, StackOverflow, HabraHabr","0","14","no","48"
"","","0","16","no","1"
"","StackOverflow, HabraHabr","0","16","yes","20"
"","GitHub, HabraHabr","0","9","no","20"
"","","0","13","yes","70"
"","GitHub, StackOverflow, HabraHabr","0","22","no","150"
"","","1","14","no","10"
"","StackOverflow, HabraHabr","0.75","16","no","30"
"","","0","15","no","24"
"","GitHub, StackOverflow, HabraHabr","2","14","yes","40"
"","HabraHabr","2.5","14","yes","10"
"","HabraHabr","0","15","no","20"
"","","0","29","no","75"
"","","0","0","no","5"
"","StackOverflow, HabraHabr","1","18","yes","60"
"","StackOverflow, HabraHabr","2","15","no","15"
"","GitHub, StackOverflow","0","22","no","40"
"","StackOverflow, HabraHabr","0","16","no","8"
"","StackOverflow","2.5","12","no","4"
"","HabraHabr","0","13","no","20"
"","GitHub, StackOverflow, HabraHabr","2","17","no","20"
"","GitHub","0","17","no","20"
"","GitHub, StackOverflow, HabraHabr","0.5","14","no","5"
"","GitHub, StackOverflow, HabraHabr","2","10","no","5"
"","HabraHabr","5","12","no","10"
"","StackOverflow, HabraHabr","0","15","no","37"
"","GitHub, StackOverflow, HabraHabr","0","14","yes","2"
"","StackOverflow, HabraHabr","0","15","no","5"
"","GitHub, StackOverflow, HabraHabr","0","11","no","30"
"","StackOverflow, HabraHabr","0","19","no","10"
"","GitHub, StackOverflow, HabraHabr","3","15","no","40"
"","GitHub, StackOverflow, HabraHabr","0","15","no","20"
"","StackOverflow, HabraHabr","3.5","16","no","10"
"","HabraHabr","0","13","no","40"
"","StackOverflow, HabraHabr","0","20","no","50"
"","GitHub, StackOverflow, HabraHabr","0","14","yes","30"
"","GitHub, HabraHabr","3","14","yes","20"
"","StackOverflow, HabraHabr","0","14","yes","50"
"","","0","10","yes","20"
"","StackOverflow","2","10","no","30"
"","GitHub","2","15","no","20"
"","","0.75","17","no","20"
"","HabraHabr","0","7","yes","480"
"","GitHub","6","56","yes","168"
"","StackOverflow, HabraHabr","0","0","yes","10"
"","StackOverflow, HabraHabr","1.25","17","no","30"
"","HabraHabr","0","20","no","10"
"","StackOverflow, HabraHabr","2.5","7","yes","50"
"","StackOverflow","0.5","19","no","2"
"","GitHub, StackOverflow","1.5","14","no","26"
"","HabraHabr","1","15","yes","30"
"","HabraHabr","0.5","14","yes","50"
"","GitHub, StackOverflow","0","23","no","10"
"","","0","7","yes","40"
"","StackOverflow, HabraHabr","0","15","no","10"
"","GitHub, StackOverflow, HabraHabr","4","14","no","32"
"","GitHub, StackOverflow, HabraHabr","0.25","23","no","50"
"","StackOverflow, HabraHabr","2","15","no","30"
"","StackOverflow","1.5","15","no","80"
"","HabraHabr","0","8","no","6"
"","StackOverflow, HabraHabr","0","18","no","15"
"","StackOverflow","0.5","12","no","20"
"","","1.5","18","yes","5"
"","StackOverflow, HabraHabr","2","1","no","16"
"","StackOverflow, HabraHabr","2","15","yes","70"
"","GitHub, StackOverflow, HabraHabr","4","12","no","30"
"","StackOverflow, HabraHabr","0.5","15","no","60"
"","StackOverflow, HabraHabr","0.5","14","no","1"
"","StackOverflow, HabraHabr","0","20","no","60"
"","GitHub, StackOverflow, HabraHabr","2","16","no","100"
"","StackOverflow","1.5","17","no","30"
"","StackOverflow, HabraHabr","0.5","18","no","20"
"","HabraHabr","2","24","no","20"
"","HabraHabr","1","13","yes","20"
"","HabraHabr","0.5","14","yes","5"
"","StackOverflow, HabraHabr","0","","no","20"
"","GitHub, StackOverflow, HabraHabr","0.5","15","no","50"
"","HabraHabr","0","9","yes","8"
"","StackOverflow","0","13","yes","6"
"","StackOverflow","0","15","no","40"
"","","2","14","no","10"
"","HabraHabr","0","14","no","50"
"","GitHub, StackOverflow, HabraHabr","2","13","no","10"
"","StackOverflow, HabraHabr","6","8","no","40"
"","","1","12","yes","20"
"","StackOverflow, HabraHabr","1","13","yes","10"
"","GitHub, StackOverflow, HabraHabr","1","18","no","8"
"","HabraHabr","2","18","no","15"
"","StackOverflow, HabraHabr","0","16","no","30"
"","StackOverflow, HabraHabr","1","12","no","10"
"","GitHub, StackOverflow, HabraHabr","0.5","13","no","20"
"","","0","19","no","30"
"","GitHub, StackOverflow, HabraHabr","5","7","yes","100"
"","StackOverflow, HabraHabr","0","15","no","10"
"","GitHub, StackOverflow, HabraHabr","4","13","no","40"
"","GitHub, StackOverflow, HabraHabr","0.5","13","yes","90"
"","GitHub, StackOverflow","0","12","yes","30"
"","GitHub, StackOverflow, HabraHabr","2","16","no","90"
"","","0","1","no","200"
"","GitHub, StackOverflow","5","9","no","32"
"","StackOverflow, HabraHabr","0.5","16","no","20"
"","GitHub, StackOverflow, HabraHabr","0.75","14","no","1"
"","StackOverflow, HabraHabr","2","13","yes","40"
"","","2","14","no",""
"","GitHub, StackOverflow, HabraHabr","0","12","no","10"
"","","0","20","no","8"
"","","0","10","yes","20"
"","StackOverflow, HabraHabr","0","9","yes","100"
"","GitHub, StackOverflow, HabraHabr","1","16","no","4"
"","StackOverflow, HabraHabr","1","12","no","20"
"","GitHub, HabraHabr","2","23","no","80"
"","StackOverflow, HabraHabr","6","21","yes","6"
"","StackOverflow, HabraHabr","2","15","yes","100"
"","GitHub, StackOverflow, HabraHabr","2","19","no","16"
"","GitHub, HabraHabr","4","16","no","20"
"","HabraHabr","4","10","no","5"
"","GitHub, StackOverflow, HabraHabr","0","20","no","2"
"","GitHub, StackOverflow, HabraHabr","2","16","no","60"
"","HabraHabr","1","16","no","30"
"","StackOverflow","0","32","no",""
"","GitHub, HabraHabr","6","19","no","10"
"","GitHub, StackOverflow, HabraHabr","2","15","no","20"
"","","0.5","13","no","10"
"","GitHub, StackOverflow, HabraHabr","1.5","18","","30"
"","HabraHabr","0","","no","12"
"","","0.75","18","no","40"
"","StackOverflow, HabraHabr","0","27","no","100"
"","GitHub, StackOverflow","2","12","no","0"
"","GitHub, HabraHabr","4","13","no","20"
"","HabraHabr","0","14","yes","10"
"","GitHub, StackOverflow, HabraHabr","1","15","no","12"
"","StackOverflow, HabraHabr","3","12","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","15","no","240"
"","GitHub, StackOverflow, HabraHabr","6","12","yes","150"
"","HabraHabr","1.5","20","no","50"
"","GitHub, StackOverflow","0.5","12","no","20"
"","GitHub, StackOverflow, HabraHabr","2","19","no","8"
"","GitHub, StackOverflow, HabraHabr","0.75","14","no","3"
"","StackOverflow, HabraHabr","0","15","no","2"
"","","0","10","yes","20"
"","HabraHabr","0","0","no","40"
"","GitHub, HabraHabr","3","15","no","20"
"","HabraHabr","0.5","16","no","10"
"","","0","","",""
"","GitHub, HabraHabr","1.5","15","yes","40"
"","GitHub, StackOverflow, HabraHabr","0","20","yes","30"
"","StackOverflow","0.75","11","no","12"
"","GitHub, StackOverflow, HabraHabr","2","12","no","30"
"","StackOverflow, HabraHabr","0","12","no","5"
"","","0","15","no","50"
"","GitHub, HabraHabr","2.5","18","yes","44"
"","","2","14","yes","20"
"","StackOverflow","3","15","no","20"
"","HabraHabr","1","0","no","30"
"","GitHub, StackOverflow, HabraHabr","2","15","yes","60"
"","HabraHabr","0","0","no","10"
"","GitHub, StackOverflow","3","14","no","20"
"","","4","7","no","16"
"","StackOverflow, HabraHabr","3","18","no","60"
"","StackOverflow, HabraHabr","1.75","10","yes","50"
"","GitHub, StackOverflow, HabraHabr","3.5","18","yes","22"
"","HabraHabr","0","16","yes","5"
"","","4","13","no","40"
"","","0","19","yes","22"
"","","0","16","no","66"
"","GitHub, StackOverflow, HabraHabr","2","","no","20"
"","","2","","no","1"
"","HabraHabr","0","11","no","0"
"","HabraHabr","0","23","no","60"
"","","0","12","no","20"
"","","1","22","no",""
"","","0.25","19","yes","16"
"","HabraHabr","2.5","15","no","50"
"","","2.5","19","no","0"
"","StackOverflow","0","17","no","20"
"","HabraHabr","0","0","no","20"
"","GitHub, StackOverflow, HabraHabr","0.5","15","no","40"
"","","0.5","14","yes","20"
"","","0.25","7","yes","60"
"","StackOverflow, HabraHabr","1","16","yes","60"
"","","0","","",""
"","HabraHabr","5","16","no","12"
"","StackOverflow, HabraHabr","1","14","yes","10"
"","StackOverflow, HabraHabr","1.5","10","no","10"
"","GitHub, StackOverflow","0.5","16","no","40"
"","","1.75","15","no","20"
"","HabraHabr","0","7","no","10"
"","GitHub, StackOverflow, HabraHabr","1","16","no","4"
"","GitHub, StackOverflow, HabraHabr","0","8","yes","50"
"","","0","22","no","10"
"","GitHub, StackOverflow, HabraHabr","5.5","7","no","80"
"","HabraHabr","0.5","13","no","20"
"","","3","10","yes","20"
"","StackOverflow, HabraHabr","2","15","yes","20"
"","GitHub, StackOverflow, HabraHabr","0","13","no","40"
"","StackOverflow, HabraHabr","2","14","no","70"
"","","3","7","yes","10"
"","StackOverflow","0.5","13","no","20"
"","StackOverflow, HabraHabr","1","13","no","10"
"","HabraHabr","0","0","no","15"
"","","0","22","no","2"
"","GitHub, StackOverflow, HabraHabr","0.25","19","yes","72"
"","StackOverflow, HabraHabr","0.25","16","no","30"
"","StackOverflow, HabraHabr","1","14","no","6"
"","StackOverflow, HabraHabr","5","13","yes","168"
"","GitHub, StackOverflow, HabraHabr","2","14","no","8"
"","StackOverflow, HabraHabr","2","16","no","40"
"","GitHub, StackOverflow, HabraHabr","0","17","no","14"
"","","0","12","no","4"
"","StackOverflow","1","15","no","20"
"","","0","14","no","20"
"","GitHub, StackOverflow, HabraHabr","1","","yes","40"
"","StackOverflow","0","16","no","20"
"","HabraHabr","1","14","no","10"
"","","0.5","","no","20"
"","HabraHabr","0","0","no","3"
"","GitHub, StackOverflow, HabraHabr","0","10","no","60"
"","HabraHabr","0","12","no","20"
"","StackOverflow","0.5","18","no","10"
"","GitHub, HabraHabr","2.5","16","yes","10"
"","GitHub, StackOverflow","0","16","no","48"
"","HabraHabr","2","15","no","24"
"","StackOverflow, HabraHabr","0","6","yes","10"
"","GitHub, StackOverflow","1","12","no","10"
"","","3.5","16","no","10"
"","StackOverflow, HabraHabr","2","17","yes","15"
"","","2","15","no","40"
"","StackOverflow","2","14","no","40"
"","StackOverflow, HabraHabr","3","15","no","10"
"","GitHub, StackOverflow, HabraHabr","4","9","no","10"
"","HabraHabr","0","22","yes","30"
"","StackOverflow","1","14","no","5"
"","","0","20","no","16"
"","","3","13","no","20"
"","HabraHabr","1.5","16","no","40"
"","StackOverflow, HabraHabr","1","14","no","50"
"","StackOverflow, HabraHabr","0","16","no","10"
"","GitHub, StackOverflow, HabraHabr","0","14","no","15"
"","GitHub, StackOverflow","3","16","yes","60"
"","StackOverflow, HabraHabr","0","16","no","20"
"","StackOverflow","4","15","yes","0"
"","GitHub, StackOverflow, HabraHabr","1","12","yes","4"
"","HabraHabr","2.5","1","yes","30"
"","GitHub, HabraHabr","0","30","no","12"
"","GitHub, StackOverflow, HabraHabr","1","12","no","30"
"","HabraHabr","0","10","no","30"
"","GitHub, HabraHabr","1.75","18","no","20"
"","StackOverflow","0","16","no",""
"","GitHub, StackOverflow, HabraHabr","2.5","15","yes","12"
"","HabraHabr","0","","no","10"
"","StackOverflow, HabraHabr","1","17","no","30"
"","GitHub, StackOverflow, HabraHabr","3","14","yes","60"
"","","2","","no","5"
"","GitHub, StackOverflow, HabraHabr","0","18","no","10"
"","StackOverflow, HabraHabr","2.5","17","yes","8"
"","","0","14","yes","12"
"","GitHub, StackOverflow, HabraHabr","2","14","no","120"
"","GitHub, StackOverflow, HabraHabr","0.5","16","no","4"
"","GitHub, StackOverflow, HabraHabr","0.25","18","yes","8"
"","StackOverflow, HabraHabr","1","15","no","60"
"","StackOverflow, HabraHabr","0.5","15","no","10"
"","StackOverflow, HabraHabr","2","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","1","20","no","25"
"","StackOverflow, HabraHabr","2","14","no","60"
"","StackOverflow, HabraHabr","1.5","15","no","5"
"","","0","16","yes","3"
"","StackOverflow","0","10","no","10"
"","StackOverflow, HabraHabr","0","15","no","20"
"","GitHub, StackOverflow, HabraHabr","0","18","no","5"
"","GitHub, StackOverflow, HabraHabr","1.5","17","no","10"
"","StackOverflow, HabraHabr","2","17","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","14","no","10"
"","StackOverflow","0","14","no","8"
"","StackOverflow, HabraHabr","5","17","no","20"
"","GitHub, StackOverflow, HabraHabr","2.5","16","no","40"
"","HabraHabr","0","19","no","50"
"","","0","0","no","20"
"","","0","15","no",""
"","","0","16","no","0"
"","GitHub, StackOverflow, HabraHabr","4","14","yes","20"
"","","0","17","no",""
"","GitHub, StackOverflow, HabraHabr","0","","no","40"
"","StackOverflow","0","27","no","10"
"","GitHub, StackOverflow, HabraHabr","0","10","yes","20"
"","","0","17","no",""
"","GitHub, StackOverflow, HabraHabr","4.5","12","yes","40"
"","GitHub, StackOverflow","2","15","no","240"
"","StackOverflow, HabraHabr","2","14","no","5"
"","StackOverflow","1","16","no","0"
"","GitHub, StackOverflow, HabraHabr","0","24","no","80"
"","StackOverflow, HabraHabr","2","15","yes","5"
"","StackOverflow","1","10","no","100"
"","StackOverflow, HabraHabr","2.5","15","yes","2"
"","StackOverflow, HabraHabr","0.25","12","no","80"
"","","0","17","no",""
"","","2","14","no","60"
"","","2","18","no","2"
"","HabraHabr","5","11","no","8"
"","","2","12","no","5"
"","GitHub, StackOverflow, HabraHabr","0.25","17","no","30"
"","","2","12","no","40"
"","GitHub, StackOverflow, HabraHabr","0","13","yes","8"
"","HabraHabr","2","10","no","10"
"","GitHub, StackOverflow, HabraHabr","0","25","no","80"
"","GitHub","0","15","no","10"
"","HabraHabr","0","25","no","16"
"","GitHub, StackOverflow, HabraHabr","4","16","no","0"
"","StackOverflow, HabraHabr","1","20","no","60"
"","HabraHabr","0","0","yes","10"
"","StackOverflow, HabraHabr","1.5","15","no","30"
"","StackOverflow, HabraHabr","1.5","15","no","2"
"","GitHub, StackOverflow, HabraHabr","3","20","no","100"
"","StackOverflow","0","16","yes","60"
"","StackOverflow, HabraHabr","0","24","no","46"
"","StackOverflow, HabraHabr","3","16","no","40"
"","","0","14","no","20"
"","StackOverflow, HabraHabr","1","16","yes","8"
"","GitHub, StackOverflow, HabraHabr","1.5","15","yes","25"
"","GitHub, StackOverflow, HabraHabr","4","13","","30"
"","","1","19","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","18","no","32"
"","HabraHabr","0.25","14","no","30"
"","HabraHabr","0","15","no","20"
"","StackOverflow, HabraHabr","0","16","yes","2"
"","StackOverflow","0","15","yes","20"
"","GitHub, StackOverflow, HabraHabr","3","14","yes","16"
"","StackOverflow","1","15","yes","20"
"","HabraHabr","0","14","yes","10"
"","StackOverflow","1","17","no","5"
"","","4","12","yes","4"
"","StackOverflow","0","25","no","20"
"","StackOverflow","1","10","yes","1"
"","GitHub, HabraHabr","0.75","16","no","60"
"","StackOverflow, HabraHabr","2","10","no","25"
"","StackOverflow, HabraHabr","0","19","yes","16"
"","","0","19","yes",""
"","StackOverflow, HabraHabr","1.75","7","yes","20"
"","","0","15","no","100"
"","StackOverflow, HabraHabr","2","17","no","1"
"","GitHub, StackOverflow","5","13","yes","64"
"","GitHub, StackOverflow, HabraHabr","3","14","no","30"
"","GitHub, StackOverflow, HabraHabr","4","17","no","168"
"","","1","8","yes","10"
"","","0","22","no","10"
"","HabraHabr","1","0","no","2"
"","GitHub, StackOverflow, HabraHabr","2","22","no","4"
"","GitHub, StackOverflow","2","11","yes","90"
"","","0","17","yes","65"
"","HabraHabr","0.75","7","no",""
"","StackOverflow, HabraHabr","4","12","yes","60"
"","","4","8","yes","10"
"","HabraHabr","0","22","no","30"
"","StackOverflow, HabraHabr","4","14","yes","12"
"","GitHub, StackOverflow, HabraHabr","0","15","yes","10"
"","GitHub, StackOverflow, HabraHabr","0.5","16","no","30"
"","StackOverflow","0","17","no","40"
"","GitHub, StackOverflow, HabraHabr","3","22","no","300"
"","StackOverflow","2","15","yes","30"
"","HabraHabr","1","17","no","90"
"","GitHub, StackOverflow, HabraHabr","2","17","no","40"
"","StackOverflow","0","17","no","100"
"","HabraHabr","1","18","no","48"
"","StackOverflow, HabraHabr","1","10","no","30"
"","GitHub, StackOverflow, HabraHabr","5","7","yes","30"
"","GitHub, StackOverflow, HabraHabr","0","7","yes","2"
"","HabraHabr","0","30","no","10"
"","GitHub, HabraHabr","3","16","no","8"
"","GitHub, StackOverflow, HabraHabr","1","10","yes","20"
"","GitHub, StackOverflow, HabraHabr","1","9","no","20"
"","StackOverflow, HabraHabr","0","16","no","8"
"","StackOverflow, HabraHabr","0","16","no","64"
"","HabraHabr","0","12","no","1800"
"","StackOverflow, HabraHabr","0","","yes","8"
"","StackOverflow, HabraHabr","4","11","no","20"
"","StackOverflow","2","21","no","30"
"","StackOverflow","0","19","no","8"
"","HabraHabr","2","27","no","200"
"","HabraHabr","0","1","no","50"
"","StackOverflow","0","13","no","36"
"","","3","14","no","10"
"","StackOverflow","0","","no","1"
"","GitHub, StackOverflow","3","11","no","15"
"","GitHub, StackOverflow","1","17","no","10"
"","StackOverflow, HabraHabr","3","16","no","14"
"","StackOverflow, HabraHabr","2","10","yes","10"
"","GitHub, StackOverflow","3","12","no","40"
"","","2","16","no","32"
"","","0","22","no","10"
"","GitHub, StackOverflow, HabraHabr","0.75","14","no","168"
"","StackOverflow, HabraHabr","1.5","16","no","24"
"","GitHub, StackOverflow, HabraHabr","0.75","16","no","100"
"","","1","1","no","0"
"","HabraHabr","2","","yes","20"
"","StackOverflow, HabraHabr","2","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","1.5","17","no","24"
"","StackOverflow, HabraHabr","2","22","no","20"
"","","0","14","yes",""
"","HabraHabr","0","20","no","50"
"","GitHub, StackOverflow, HabraHabr","0","20","no","20"
"","GitHub, HabraHabr","5","12","no","5"
"","StackOverflow, HabraHabr","2","12","no","2"
"","","0.75","15","no","4"
"","StackOverflow, HabraHabr","0","16","no","30"
"","GitHub, StackOverflow, HabraHabr","2","15","no","60"
"","StackOverflow, HabraHabr","0","19","no","20"
"","GitHub, StackOverflow, HabraHabr","0.5","14","no","70"
"","GitHub, StackOverflow, HabraHabr","0","12","yes","20"
"","GitHub, StackOverflow, HabraHabr","3.5","19","no","100"
"","GitHub, StackOverflow, HabraHabr","2","16","yes","10"
"","","2","19","no","40"
"","GitHub, StackOverflow, HabraHabr","5","15","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","17","yes","100"
"","","0","35","no","100"
"","StackOverflow, HabraHabr","1","20","no","40"
"","StackOverflow, HabraHabr","3","14","no","15"
"","StackOverflow, HabraHabr","1","13","no","16"
"","StackOverflow, HabraHabr","3","17","no","30"
"","GitHub, HabraHabr","0","13","no","36"
"","HabraHabr","1.5","16","no","10"
"","StackOverflow","0.5","16","yes","14"
"","","0","22","no","60"
"","","4","12","yes","20"
"","StackOverflow, HabraHabr","1","16","no","15"
"","StackOverflow, HabraHabr","0","16","no","30"
"","GitHub, StackOverflow, HabraHabr","0","15","yes","20"
"","GitHub, StackOverflow, HabraHabr","0","19","no","20"
"","","0","19","","30"
"","GitHub, StackOverflow, HabraHabr","3","15","yes","60"
"","StackOverflow","2","15","no","60"
"","","3","","no","20"
"","StackOverflow","0","14","no","8"
"","StackOverflow, HabraHabr","3","19","no","150"
"","","2","15","no","40"
"","","1","7","no","64"
"","HabraHabr","0","15","yes","2"
"","HabraHabr","0","10","yes","30"
"","HabraHabr","1","24","no","6"
"","","0","15","yes","8"
"","StackOverflow, HabraHabr","1","19","no","40"
"","StackOverflow, HabraHabr","3","10","no","22"
"","HabraHabr","2","13","no","8"
"","","1","17","no","20"
"","StackOverflow, HabraHabr","2.5","16","no","91"
"","GitHub, StackOverflow, HabraHabr","4","16","no","50"
"","StackOverflow, HabraHabr","1","14","no","30"
"","StackOverflow","2","14","no","80"
