"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","HabraHabr","0.5","12","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","17","no","100"
"","HabraHabr","0","20","yes","10"
"","GitHub, StackOverflow, HabraHabr","2","19","no","4"
"","StackOverflow, HabraHabr","0","14","no","30"
"","GitHub, StackOverflow, HabraHabr","2","14","no","40"
"","GitHub, HabraHabr","0","15","no","20"
"","StackOverflow","1","18","no","8"
"","GitHub, StackOverflow, HabraHabr","1","9","no","10"
"","GitHub, StackOverflow, HabraHabr","3.5","13","no","60"
"","StackOverflow","2","14","yes","10"
"","","0","18","no","10"
"","GitHub, StackOverflow","2","13","yes","16"
"","StackOverflow, HabraHabr","1","12","no","40"
"","StackOverflow, HabraHabr","2.5","11","no","15"
"","","1","","no","20"
"","GitHub, StackOverflow, HabraHabr","2","18","yes","100"
"","GitHub, StackOverflow, HabraHabr","0","10","yes","40"
"","","0.5","12","no","50"
"","GitHub, HabraHabr","2.5","11","no","6"
"","StackOverflow, HabraHabr","2","12","no","20"
"","GitHub, StackOverflow, HabraHabr","0","16","no",""
"","HabraHabr","0","14","no","20"
"","","2","17","yes","60"
"","HabraHabr","1.25","0","yes","80"
"","StackOverflow, HabraHabr","1","15","no","10"
"","GitHub, StackOverflow, HabraHabr","0","14","no","40"
"","StackOverflow, HabraHabr","0","16","no",""
"","StackOverflow","1.5","14","yes","14"
"","GitHub, StackOverflow, HabraHabr","1","20","yes","60"
"","GitHub, StackOverflow","6","15","no","30"
"","StackOverflow","2","12","no","20"
"","","0","16","no",""
"","GitHub, StackOverflow","2","11","no","120"
"","StackOverflow","3","14","no","50"
"","StackOverflow, HabraHabr","1","14","no","60"
"","GitHub, StackOverflow, HabraHabr","0","15","no","12"
"","StackOverflow, HabraHabr","0.5","15","no","20"
"","StackOverflow, HabraHabr","2","15","no","50"
"","GitHub, StackOverflow, HabraHabr","3.5","21","yes","120"
"","GitHub, StackOverflow, HabraHabr","0","24","no","60"
"","GitHub, StackOverflow","0.5","14","yes","20"
"","StackOverflow, HabraHabr","0","17","no","50"
"","GitHub, StackOverflow, HabraHabr","2","20","no","40"
"","GitHub, StackOverflow, HabraHabr","1.5","16","no","120"
"","GitHub, StackOverflow, HabraHabr","0","18","no","10"
"","GitHub, StackOverflow, HabraHabr","2","15","no","40"
"","StackOverflow, HabraHabr","0","14","no","20"
"","GitHub, StackOverflow, HabraHabr","1","14","no","30"
"","StackOverflow","0","15","yes","40"
"","HabraHabr","1","17","no","200"
"","GitHub, StackOverflow","2","12","no","20"
"","StackOverflow, HabraHabr","2","15","no","15"
"","","2","14","yes","40"
"","StackOverflow, HabraHabr","0.25","17","no","30"
"","GitHub, StackOverflow, HabraHabr","2.5","10","no","60"
"","StackOverflow, HabraHabr","2","20","no","20"
"","","1","14","no","25"
"","GitHub, StackOverflow, HabraHabr","0","14","no","60"
"","GitHub, StackOverflow","2","7","yes","16"
"","GitHub, StackOverflow, HabraHabr","4","12","yes","80"
"","GitHub, StackOverflow, HabraHabr","3","11","no","60"
"","StackOverflow","2","16","no","20"
"","StackOverflow, HabraHabr","2","10","no","4"
"","StackOverflow","0.5","19","no","80"
"","","1.5","6","no","20"
